CMDLINE C:\Users\bhewl\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\python.exe main.py
MEM 143.140625 1635993641.7966
MEM 143.140625 1635993641.9083
MEM 143.140625 1635993642.0180
MEM 143.140625 1635993642.1297
MEM 143.140625 1635993642.2404
MEM 143.140625 1635993642.3490
MEM 143.140625 1635993642.4588
MEM 143.140625 1635993642.5705
MEM 143.140625 1635993642.6822
MEM 143.140625 1635993642.7919
MEM 143.140625 1635993642.9026
MEM 143.140625 1635993643.0143
MEM 143.140625 1635993643.1250
MEM 143.140625 1635993643.2367
MEM 143.140625 1635993643.3484
MEM 143.140625 1635993643.4601
MEM 143.140625 1635993643.5698
MEM 143.140625 1635993643.6795
MEM 143.089844 1635993643.7892
MEM 143.089844 1635993643.8969
MEM 143.089844 1635993644.0026
MEM 143.089844 1635993644.1123
MEM 143.089844 1635993644.2230
MEM 143.089844 1635993644.3317
MEM 143.089844 1635993644.4405
MEM 143.089844 1635993644.5512
MEM 143.089844 1635993644.6608
MEM 143.089844 1635993644.7725
MEM 143.109375 1635993644.8842
MEM 143.109375 1635993644.9949
MEM 143.109375 1635993645.1036
MEM 143.109375 1635993645.2153
MEM 143.109375 1635993645.3270
MEM 143.109375 1635993645.4377
MEM 143.109375 1635993645.5494
MEM 143.109375 1635993645.6611
MEM 143.109375 1635993645.7728
MEM 143.109375 1635993645.8845
MEM 143.109375 1635993645.9939
MEM 143.109375 1635993646.1056
MEM 143.109375 1635993646.2173
MEM 143.109375 1635993646.3290
MEM 143.109375 1635993646.4407
MEM 143.109375 1635993646.5524
MEM 143.109375 1635993646.6641
MEM 143.109375 1635993646.7758
MEM 143.109375 1635993646.8865
MEM 143.109375 1635993646.9972
MEM 143.109375 1635993647.1089
MEM 143.109375 1635993647.2196
MEM 143.109375 1635993647.3293
MEM 143.117188 1635993647.4390
MEM 143.160156 1635993647.5487
MEM 143.160156 1635993647.6585
MEM 143.160156 1635993647.7701
MEM 143.160156 1635993647.8808
MEM 143.160156 1635993647.9895
MEM 143.160156 1635993648.0993
MEM 143.160156 1635993648.2110
MEM 143.160156 1635993648.3227
MEM 143.160156 1635993648.4324
MEM 143.160156 1635993648.5441
MEM 143.160156 1635993648.6548
MEM 143.160156 1635993648.7645
MEM 143.160156 1635993648.8752
MEM 143.160156 1635993648.9859
MEM 143.160156 1635993649.0956
MEM 143.160156 1635993649.2063
MEM 143.160156 1635993649.3170
MEM 143.160156 1635993649.4277
MEM 143.160156 1635993649.5374
MEM 143.160156 1635993649.6491
MEM 143.160156 1635993649.7599
MEM 143.160156 1635993649.8706
MEM 143.160156 1635993649.9803
MEM 143.199219 1635993650.0900
MEM 143.199219 1635993650.1997
MEM 143.199219 1635993650.3104
MEM 143.199219 1635993650.4191
MEM 143.199219 1635993650.5309
MEM 143.199219 1635993650.6406
MEM 143.199219 1635993650.7513
MEM 143.199219 1635993650.8610
MEM 143.214844 1635993650.9717
MEM 143.214844 1635993651.0834
MEM 143.144531 1635993651.1951
MEM 143.144531 1635993651.3068
MEM 143.144531 1635993651.4185
MEM 143.144531 1635993651.5292
MEM 143.144531 1635993651.6389
MEM 143.144531 1635993651.7486
MEM 143.144531 1635993651.8603
MEM 143.144531 1635993651.9700
MEM 143.144531 1635993652.0807
MEM 143.144531 1635993652.1905
MEM 143.144531 1635993652.3012
MEM 143.144531 1635993652.4118
MEM 143.152344 1635993652.5216
MEM 143.175781 1635993652.6322
MEM 143.187500 1635993652.7419
MEM 143.187500 1635993652.8526
MEM 143.187500 1635993652.9633
MEM 143.187500 1635993653.0731
MEM 143.187500 1635993653.1828
MEM 143.187500 1635993653.2935
MEM 143.187500 1635993653.4042
MEM 143.187500 1635993653.5139
MEM 143.187500 1635993653.6237
MEM 143.187500 1635993653.7349
MEM 143.187500 1635993653.8446
MEM 143.187500 1635993653.9543
MEM 143.187500 1635993654.0640
MEM 143.187500 1635993654.1747
MEM 143.187500 1635993654.2854
MEM 143.187500 1635993654.3952
MEM 143.187500 1635993654.5058
MEM 143.187500 1635993654.6165
MEM 143.187500 1635993654.7262
MEM 143.187500 1635993654.8359
MEM 143.187500 1635993654.9466
MEM 143.187500 1635993655.0573
MEM 143.187500 1635993655.1670
MEM 143.195312 1635993655.2768
MEM 143.195312 1635993655.3885
MEM 143.195312 1635993655.4972
MEM 143.195312 1635993655.6079
MEM 143.195312 1635993655.7166
MEM 143.195312 1635993655.8273
MEM 143.195312 1635993655.9370
MEM 143.195312 1635993656.0487
MEM 143.195312 1635993656.1594
MEM 143.195312 1635993656.2701
MEM 143.195312 1635993656.3798
MEM 143.195312 1635993656.4915
MEM 143.195312 1635993656.6012
MEM 143.195312 1635993656.7129
MEM 143.195312 1635993656.8246
MEM 143.195312 1635993656.9363
MEM 143.195312 1635993657.0480
MEM 143.195312 1635993657.1597
MEM 143.195312 1635993657.2694
MEM 143.195312 1635993657.3811
MEM 143.195312 1635993657.4928
MEM 143.195312 1635993657.6045
MEM 143.195312 1635993657.7162
MEM 143.195312 1635993657.8279
MEM 143.191406 1635993657.9376
MEM 143.191406 1635993658.0483
MEM 143.191406 1635993658.1610
MEM 143.191406 1635993658.2707
MEM 143.191406 1635993658.3794
MEM 143.191406 1635993658.4881
MEM 143.191406 1635993658.5988
MEM 143.191406 1635993658.7085
MEM 143.191406 1635993658.8193
MEM 143.191406 1635993658.9290
MEM 143.191406 1635993659.0407
MEM 143.191406 1635993659.1524
MEM 143.191406 1635993659.2641
MEM 143.191406 1635993659.3759
MEM 143.191406 1635993659.4855
MEM 143.191406 1635993659.5973
MEM 143.191406 1635993659.7070
MEM 143.191406 1635993659.8157
MEM 143.191406 1635993659.9244
MEM 143.191406 1635993660.0321
MEM 143.160156 1635993660.1428
MEM 143.160156 1635993660.2535
MEM 143.160156 1635993660.3652
MEM 143.160156 1635993660.4759
MEM 143.160156 1635993660.5866
MEM 143.160156 1635993660.6973
MEM 143.160156 1635993660.8080
MEM 143.164062 1635993660.9187
MEM 143.164062 1635993661.0294
MEM 143.164062 1635993661.1381
MEM 143.164062 1635993661.2469
MEM 143.164062 1635993661.3586
MEM 143.164062 1635993661.4683
MEM 143.164062 1635993661.5790
MEM 143.164062 1635993661.6897
MEM 143.179688 1635993661.7977
MEM 143.179688 1635993661.9064
MEM 143.179688 1635993662.0162
MEM 143.179688 1635993662.1279
MEM 143.179688 1635993662.2386
MEM 143.179688 1635993662.3483
MEM 143.179688 1635993662.4590
MEM 143.179688 1635993662.5686
MEM 143.179688 1635993662.6793
MEM 143.179688 1635993662.7901
MEM 143.179688 1635993662.9018
MEM 143.179688 1635993663.0135
MEM 143.179688 1635993663.1232
MEM 143.179688 1635993663.2339
MEM 143.183594 1635993663.3456
MEM 143.210938 1635993663.4533
MEM 143.226562 1635993663.5630
MEM 143.226562 1635993663.6707
MEM 143.226562 1635993663.7824
MEM 143.226562 1635993663.8941
MEM 143.226562 1635993664.0038
MEM 143.226562 1635993664.1115
MEM 143.226562 1635993664.2222
MEM 143.226562 1635993664.3329
MEM 143.226562 1635993664.4447
MEM 143.160156 1635993664.5563
MEM 143.160156 1635993664.6674
MEM 143.160156 1635993664.7792
MEM 143.160156 1635993664.8899
MEM 143.160156 1635993665.0006
MEM 143.160156 1635993665.1113
MEM 143.160156 1635993665.2200
MEM 143.160156 1635993665.3317
MEM 143.160156 1635993665.4434
MEM 143.160156 1635993665.5531
MEM 143.160156 1635993665.6648
MEM 143.160156 1635993665.7765
MEM 143.160156 1635993665.8882
MEM 143.160156 1635993665.9999
MEM 143.164062 1635993666.1114
MEM 143.187500 1635993666.2231
MEM 143.187500 1635993666.3338
MEM 143.187500 1635993666.4456
MEM 143.187500 1635993666.5572
MEM 143.187500 1635993666.6690
MEM 143.187500 1635993666.7807
MEM 143.187500 1635993666.8913
MEM 143.187500 1635993667.0021
MEM 143.187500 1635993667.1137
MEM 143.187500 1635993667.2254
MEM 143.187500 1635993667.3371
MEM 143.187500 1635993667.4469
MEM 143.187500 1635993667.5586
MEM 143.187500 1635993667.6703
MEM 143.187500 1635993667.7800
MEM 143.187500 1635993667.8897
MEM 143.187500 1635993667.9994
MEM 143.187500 1635993668.1091
MEM 143.187500 1635993668.2198
MEM 143.187500 1635993668.3305
MEM 143.187500 1635993668.4412
MEM 143.187500 1635993668.5529
MEM 143.187500 1635993668.6636
MEM 143.191406 1635993668.7753
MEM 143.207031 1635993668.8860
MEM 143.207031 1635993668.9977
MEM 143.207031 1635993669.1084
MEM 143.207031 1635993669.2201
MEM 143.207031 1635993669.3318
MEM 143.207031 1635993669.4435
MEM 143.207031 1635993669.5532
MEM 143.207031 1635993669.6649
MEM 143.207031 1635993669.7767
MEM 143.207031 1635993669.8850
MEM 143.207031 1635993669.9963
MEM 143.207031 1635993670.1080
MEM 143.207031 1635993670.2177
MEM 143.207031 1635993670.3284
MEM 143.207031 1635993670.4381
MEM 143.207031 1635993670.5488
MEM 143.207031 1635993670.6585
MEM 143.207031 1635993670.7692
MEM 143.105469 1635993670.8799
MEM 143.105469 1635993670.9916
MEM 143.105469 1635993671.1023
MEM 143.105469 1635993671.2140
MEM 143.105469 1635993671.3255
MEM 143.105469 1635993671.4373
MEM 143.164062 1635993671.5489
MEM 143.164062 1635993671.6607
MEM 143.164062 1635993671.7724
MEM 143.164062 1635993671.8820
MEM 143.164062 1635993671.9918
MEM 143.164062 1635993672.0995
MEM 143.164062 1635993672.2112
MEM 143.164062 1635993672.3209
MEM 143.164062 1635993672.4316
MEM 143.164062 1635993672.5423
MEM 143.164062 1635993672.6530
MEM 143.164062 1635993672.7647
MEM 143.164062 1635993672.8754
MEM 143.164062 1635993672.9851
MEM 143.164062 1635993673.0958
MEM 143.164062 1635993673.2055
MEM 143.164062 1635993673.3162
MEM 142.882812 1635993673.4259
MEM 142.882812 1635993673.5356
MEM 142.882812 1635993673.6473
MEM 142.882812 1635993673.7580
MEM 142.882812 1635993673.8647
MEM 142.882812 1635993673.9759
MEM 142.882812 1635993674.0836
MEM 142.882812 1635993674.1913
MEM 142.882812 1635993674.3031
MEM 142.882812 1635993674.4148
MEM 142.882812 1635993674.5265
MEM 142.882812 1635993674.6362
MEM 142.882812 1635993674.7459
MEM 142.960938 1635993674.8576
MEM 142.972656 1635993674.9673
MEM 143.066406 1635993675.0790
MEM 143.066406 1635993675.1907
MEM 143.066406 1635993675.3024
MEM 143.066406 1635993675.4141
MEM 143.066406 1635993675.5258
MEM 143.066406 1635993675.6355
MEM 143.066406 1635993675.7452
MEM 143.066406 1635993675.8569
MEM 143.066406 1635993675.9667
MEM 143.066406 1635993676.0743
MEM 143.066406 1635993676.1841
MEM 143.066406 1635993676.2938
MEM 143.066406 1635993676.4045
MEM 143.066406 1635993676.5161
MEM 143.078125 1635993676.6268
MEM 143.125000 1635993676.7385
MEM 143.125000 1635993676.8493
MEM 143.125000 1635993676.9600
MEM 143.125000 1635993677.0707
MEM 143.125000 1635993677.1804
MEM 143.125000 1635993677.2911
MEM 143.128906 1635993677.4018
MEM 143.140625 1635993677.5105
MEM 143.148438 1635993677.6202
MEM 143.148438 1635993677.7299
MEM 143.148438 1635993677.8413
MEM 143.148438 1635993677.9510
MEM 143.148438 1635993678.0627
MEM 143.148438 1635993678.1704
MEM 143.148438 1635993678.2791
MEM 143.148438 1635993678.3898
MEM 143.148438 1635993678.4995
MEM 143.148438 1635993678.6103
MEM 143.148438 1635993678.7219
MEM 143.148438 1635993678.8326
MEM 143.148438 1635993678.9443
MEM 143.148438 1635993679.0550
MEM 143.148438 1635993679.1646
MEM 143.167969 1635993679.2763
MEM 143.195312 1635993679.3860
MEM 143.203125 1635993679.4977
MEM 143.207031 1635993679.6084
MEM 143.207031 1635993679.7191
MEM 143.207031 1635993679.8288
MEM 143.207031 1635993679.9385
MEM 143.207031 1635993680.0502
MEM 143.207031 1635993680.1599
MEM 143.207031 1635993680.2676
MEM 143.207031 1635993680.3753
MEM 143.207031 1635993680.4851
MEM 143.207031 1635993680.5947
MEM 143.207031 1635993680.7045
MEM 143.207031 1635993680.8142
MEM 143.207031 1635993680.9229
MEM 143.207031 1635993681.0326
MEM 143.207031 1635993681.1433
MEM 143.207031 1635993681.2530
MEM 143.207031 1635993681.3627
MEM 143.207031 1635993681.4714
MEM 143.207031 1635993681.5831
MEM 143.207031 1635993681.6938
MEM 143.207031 1635993681.8006
MEM 143.207031 1635993681.9102
MEM 143.207031 1635993682.0199
MEM 143.214844 1635993682.1297
MEM 143.214844 1635993682.2414
MEM 143.214844 1635993682.3520
MEM 143.214844 1635993682.4628
MEM 143.214844 1635993682.5745
MEM 143.214844 1635993682.6842
MEM 143.214844 1635993682.7939
MEM 143.214844 1635993682.9056
MEM 143.214844 1635993683.0173
MEM 143.085938 1635993683.1270
MEM 143.085938 1635993683.2377
MEM 143.085938 1635993683.3494
MEM 143.085938 1635993683.4601
MEM 143.085938 1635993683.5728
MEM 143.085938 1635993683.6815
MEM 143.085938 1635993683.7932
MEM 143.085938 1635993683.9049
MEM 143.085938 1635993684.0146
MEM 143.085938 1635993684.1263
MEM 143.085938 1635993684.2340
MEM 143.085938 1635993684.3458
MEM 143.085938 1635993684.4575
MEM 143.085938 1635993684.5684
MEM 143.109375 1635993684.6801
MEM 143.109375 1635993684.7918
MEM 143.109375 1635993684.9025
MEM 143.109375 1635993685.0132
MEM 143.109375 1635993685.1249
MEM 143.109375 1635993685.2356
MEM 143.125000 1635993685.3444
MEM 143.144531 1635993685.4551
MEM 143.156250 1635993685.5664
MEM 143.156250 1635993685.6778
MEM 143.156250 1635993685.7885
MEM 143.156250 1635993685.8992
MEM 143.156250 1635993686.0089
MEM 143.156250 1635993686.1176
